,,,,,,,,,,,,"Survey","Participant","Question 1","{{Q://Q2/ChoiceTextEntryValue}}.1","{{Q://Q2/ChoiceTextEntryValue}}.2","Question 3","Question 4","Question 5","Question 6","Question 7","Question 8","Question 9","Question 10","Question 11","Question 12","{{Q://Q13/ChoiceTextEntryValue}}","Question 14","Question 15","Question 16","{{Q://Q17/ChoiceTextEntryValue}}.1","{{Q://Q17/ChoiceTextEntryValue}}.2","{{Q://Q17/ChoiceTextEntryValue}}.3","{{Q://Q17/ChoiceTextEntryValue}}.4","{{Q://Q17/ChoiceTextEntryValue}}.5","{{Q://Q17/ChoiceTextEntryValue}}.6","Question 18","Question 19","Question 20","Question 21","Question 22","Question 23","Question 24","Question 25"
"12/05/2024 05:00PM","12/05/2024 05:02PM","12/05/2024 05:00PM - 12/05/2024 11:00PM",117.496,"2","1","Finished","67508f86dc3d69e45537faf9",,,"no","-","192.168.1.16","Participant 6","4","No","Yes","7","1","1","3","7","3","7","5","1","4","שום דבר","2","1","1","No","No","No","No","Yes","","1","1","2","6","1","1","3","1"
"12/06/2024 07:30PM","12/06/2024 07:32PM","12/06/2024 05:00PM - 12/06/2024 11:00PM",109.699,"3","1","Finished","67508f86dc3d69e45537faf9",,,"no","-","192.168.1.16","Participant 6","4","No","Yes","4","4","4","5","5","5","4","5","5","3","התווכח עם אח שלו","4","4","3","Yes","No","No","No","No","","5","3","3","5","4","3","3","1"
"12/07/2024 05:48PM","12/07/2024 05:50PM","12/07/2024 05:00PM - 12/07/2024 11:00PM",107.642,"4","1","Finished","67508f86dc3d69e45537faf9",,,"no","-","10.57.216.171","Participant 6","3","No","Yes","5","4","3","3","5","7","3","3","4","5","שום דבר","2","3","2","No","No","No","No","Yes","","5","1","3","4","3","1","3","3"
"12/08/2024 07:20PM","12/08/2024 07:23PM","12/08/2024 05:00PM - 12/08/2024 11:00PM",149.116,"5","1","Finished","67508f86dc3d69e45537faf9",,,"no","-","192.168.1.16","Participant 6","4","No","Yes","6","1","1","2","7","3","4","3","1","5","שום דבר","1","1","1","No","No","No","No","Yes","","1","1","1","7","1","1","1","1"
"12/09/2024 05:45PM","12/09/2024 05:47PM","12/09/2024 05:00PM - 12/09/2024 11:00PM",74.293,"6","1","Finished","67508f86dc3d69e45537faf9",,,"no","-","10.61.150.82","Participant 6","2","No","Yes","5","1","1","1","3","1","4","1","1","3","לא התעצבן למיטב ידיעתי","1","1","2","No","No","No","No","Yes","","1","1","1","6","1","1","1","2"
"12/10/2024 06:22PM","12/10/2024 06:26PM","12/10/2024 05:00PM - 12/10/2024 11:00PM",237.276,"7","1","Finished","67508f86dc3d69e45537faf9",,,"no","-","192.168.1.16","Participant 6","3","No","Yes","7","1","1","3","5","2","5","5","1","1","שום דבר","1","1","3","No","No","No","No","Yes","","1","1","1","4","2","1","1","2"
"12/11/2024 05:00PM","12/11/2024 05:02PM","12/11/2024 05:00PM - 12/11/2024 11:00PM",108.6,"8","1","Finished","67508f86dc3d69e45537faf9",,,"no","-","192.168.1.16","Participant 6","3","No","Yes","3","5","4","3","5","3","5","5","4","3","ויכוח עם אחי7","5","6","5","Yes","No","No","No","No","","5","5","3","3","5","5","5","5"
"12/18/2024 10:14PM","12/18/2024 10:21PM","12/18/2024 05:00PM - 12/18/2024 11:00PM",431.526,"2","1","Finished","6761a6958b60efe498aced4c","0.0","0.0","no","-","2a0d:6fc2:54a0:4300:a889:6e4a:ef22:e432","Participant 7","7","No","Yes","7","1","1","1","4","1","4","3","1","7","לא היתה בכלל עצבנית היום","1","1","1","No","No","No","No","Yes","","1","1","1","7","1","1","1","1"
"12/19/2024 07:00PM","12/19/2024 07:05PM","12/19/2024 05:00PM - 12/19/2024 11:00PM",266.878,"3","1","Finished","6761a6958b60efe498aced4c","0.0","0.0","no","-","2a0d:6fc2:54a0:4300:11cd:aef9:307a:bd70","Participant 7","7","No","Yes","7","1","1","5","5","1","7","6","1","7","שום דבר לא עצבן אותה","4","1","1","No","No","No","No","Yes","","1","1","1","1","1","1","1","7"
"12/20/2024 05:47PM","12/20/2024 05:49PM","12/20/2024 05:00PM - 12/20/2024 11:00PM",134.594,"4","1","Finished","6761a6958b60efe498aced4c","0.0","0.0","no","-","2a0d:6fc2:54a0:4300:2020:6cd3:bf3:bcb2","Participant 7","7","No","Yes","7","1","1","7","6","7","7","4","1","7","לא התעצבנה","1","1","1","No","No","No","No","Yes","","1","1","1","1","1","1","1","1"
"12/21/2024 07:39PM","12/21/2024 07:41PM","12/21/2024 05:00PM - 12/21/2024 11:00PM",153.223,"5","1","Finished","6761a6958b60efe498aced4c","0.0","0.0","no","-","192.168.1.108","Participant 7","7","No","Yes","7","1","1","1","7","7","5","2","1","7","לא התעצבנה","1","1","1","No","No","No","No","Yes","","1","1","1","6","1","1","1","1"
"12/22/2024 06:58PM","12/22/2024 07:04PM","12/22/2024 05:00PM - 12/22/2024 11:00PM",356.1,"6","1","Finished","6761a6958b60efe498aced4c","0.0","0.0","no","-","2a0d:6fc2:54a0:4300:541b:1041:20af:7cb8","Participant 7","7","No","Yes","7","7","1","7","7","7","7","6","1","7","השיעורים בג״ג","2","2","1","No","No","No","No","Yes","","1","1","7","7","1","1","2","2"
"12/23/2024 09:19PM","12/23/2024 09:23PM","12/23/2024 05:00PM - 12/23/2024 11:00PM",227.022,"7","1","Finished","6761a6958b60efe498aced4c","0.0","0.0","no","-","2a0d:6fc2:54a0:4300:4c39:f7a:9308:fd8f","Participant 7","7","No","Yes","7","1","1","7","7","7","7","7","1","7","כמות שיעורי הבית","4","1","1","No","No","No","No","Yes","","1","1","1","7","1","1","3","3"
"12/24/2024 07:22PM","12/24/2024 07:24PM","12/24/2024 05:00PM - 12/24/2024 11:00PM",109.413,"8","1","Finished","6761a6958b60efe498aced4c","0.0","0.0","no","-","192.168.1.108","Participant 7","7","No","Yes","7","1","1","5","5","4","5","6","1","7","לא התעצבנה היום","1","1","1","No","No","No","No","Yes","","1","1","1","7","1","1","1","1"
"12/19/2024 06:20PM","12/19/2024 06:23PM","12/19/2024 05:00PM - 12/19/2024 11:00PM",171.524,"2","1","Finished","674755637c2f821e9bb51e03","0.0","0.0","no","-","192.168.1.214","Participant 8","5","No","Yes","5","4","4","7","6","7","7","6","4","6","לקחתי לה סינר במהלך פעילות עוגיות","2","3","3","No","No","No","No","No","נעלה את הדלת ","5","5","4","7","1","2","2","2"
"12/20/2024 06:44PM","12/20/2024 06:46PM","12/20/2024 05:00PM - 12/20/2024 11:00PM",155.865,"3","1","Finished","674755637c2f821e9bb51e03","0.0","0.0","no","-","192.168.1.214","Participant 8","5","No","Yes","3","4","4","7","5","4","5","5","4","4","חוג ארוך מדי","4","5","4","No","No","No","No","No","רצתה לקצר את הזמן שהייתה במקהלה ","4","5","5","5","5","5","1","1"
"12/21/2024 05:07PM","12/21/2024 05:09PM","12/21/2024 05:00PM - 12/21/2024 11:00PM",99.49,"4","1","Finished","674755637c2f821e9bb51e03","0.0","0.0","no","-","192.168.1.214","Participant 8","2","No","Yes","3","3","2","2","2","2","2","2","2","3","לא היה ","2","2","3","No","No","No","No","Yes","","4","5","1","6","2","5","2","2"
"12/22/2024 06:54PM","12/22/2024 06:55PM","12/22/2024 05:00PM - 12/22/2024 11:00PM",84.678,"5","1","Finished","674755637c2f821e9bb51e03","0.0","0.0","no","-","2a02:14f:176:98b0:acfc:dcfc:1c17:1c26","Participant 8","2","No","Yes","2","2","1","1","5","1","3","3","1","2","לא היה היה בביה״ס או בחוגים מאז בקושי בבית ","2","2","2","No","No","No","No","Yes","","5","5","2","6","2","5","2","2"
"12/23/2024 05:54PM","12/23/2024 05:57PM","12/23/2024 05:00PM - 12/23/2024 11:00PM",223.686,"6","1","Finished","674755637c2f821e9bb51e03","0.0","0.0","no","-","192.168.1.214","Participant 8","7","No","Yes","6","1","1","6","5","5","3","2","2","6","התעצבנה על אחותה ","4","4","4","Yes","No","No","No","No","","6","5","3","3","5","5","4","4"
"12/24/2024 07:39PM","12/24/2024 07:41PM","12/24/2024 05:00PM - 12/24/2024 11:00PM",83.926,"7","1","Finished","674755637c2f821e9bb51e03","0.0","0.0","no","-","192.168.1.214","Participant 8","4","No","Yes","4","2","3","4","5","4","4","4","2","5","לא משהו מיוחד כאב ראש בעקבות שיעול","3","3","2","No","No","No","No","Yes","","5","5","3","2","5","5","3","2"
"12/25/2024 06:45PM","12/25/2024 06:47PM","12/25/2024 05:00PM - 12/25/2024 11:00PM",125.238,"8","1","Finished","674755637c2f821e9bb51e03","0.0","0.0","no","-","192.168.1.214","Participant 8","2","No","Yes","2","2","3","4","3","3","3","2","4","4","שיעול כבד טלפון שמסך נשבר","4","5","5","No","No","No","No","Yes","","4","4","4","2","5","2","4","5"
"12/23/2024 07:00PM","12/23/2024 07:03PM","12/23/2024 05:00PM - 12/23/2024 11:00PM",124.848,"2","1","Finished","67682d629e4c11f7e1e4cc54","0.0","0.0","no","-","2a0d:6fc2:4b11:6200:5caa:61e5:b757:87dd","Participant 9","6","No","Yes","7","1","1","7","7","1","6","7","1","6","אין","1","1","1","No","No","No","No","Yes","","1","1","1","7","1","1","1","1"
"12/24/2024 05:08PM","12/24/2024 05:10PM","12/24/2024 05:00PM - 12/24/2024 11:00PM",135.165,"3","1","Finished","67682d629e4c11f7e1e4cc54","0.0","0.0","no","-","2a0d:6fc2:4b11:6200:7592:bcc:231e:d03b","Participant 9","7","No","Yes","7","2","1","1","1","1","2","1","1","7","האוטובוס לא עצר ","2","2","1","No","No","No","No","Yes","","1","1","2","7","1","1","1","1"
"12/25/2024 05:36PM","12/25/2024 05:38PM","12/25/2024 05:00PM - 12/25/2024 11:00PM",119.626,"4","1","Finished","67682d629e4c11f7e1e4cc54","0.0","0.0","no","-","192.168.1.174","Participant 9","1","No","Yes","7","1","1","1","6","1","3","3","1","7","אין","1","1","1","No","No","No","No","Yes","","1","7","1","7","1","1","1","1"
"12/26/2024 05:45PM","12/26/2024 05:49PM","12/26/2024 05:00PM - 12/26/2024 11:00PM",219.024,"5","1","Finished","67682d629e4c11f7e1e4cc54","0.0","0.0","no","-","2a0d:6fc7:41f:31c1:c028:26e0:697f:f3c6","Participant 9","7","No","Yes","7","1","1","3","3","1","7","7","1","7","אין","1","1","1","No","No","No","No","Yes","","1","1","1","7","1","1","1","2"
"12/27/2024 07:58PM","12/27/2024 08:00PM","12/27/2024 05:00PM - 12/27/2024 11:00PM",120.645,"6","1","Finished","67682d629e4c11f7e1e4cc54","0.0","0.0","no","-","192.168.1.174","Participant 9","3","No","Yes","7","1","1","1","5","1","5","4","1","7","אין","2","1","2","No","No","No","No","Yes","","1","1","1","5","1","1","1","1"
"12/28/2024 05:12PM","12/28/2024 05:14PM","12/28/2024 05:00PM - 12/28/2024 11:00PM",99.379,"7","1","Finished","67682d629e4c11f7e1e4cc54","0.0","0.0","no","-","192.168.1.174","Participant 9","7","No","Yes","7","1","1","1","1","2","2","3","1","7","אין","1","1","1","No","No","No","No","Yes","","1","1","1","1","1","1","1","1"
"12/29/2024 07:00PM","12/29/2024 07:02PM","12/29/2024 05:00PM - 12/29/2024 11:00PM",123.041,"8","1","Finished","67682d629e4c11f7e1e4cc54","0.0","0.0","no","-","192.168.1.174","Participant 9","3","No","Yes","7","1","1","1","7","1","2","2","1","7","אין","1","1","1","No","No","No","No","Yes","","1","1","1","5","1","1","1","1"
"12/26/2024 09:36PM","12/26/2024 09:38PM","12/26/2024 05:00PM - 12/26/2024 11:00PM",152.292,"2","1","Finished","67632e8217bb529f7001ccfa",,,"no","-","10.100.102.6","Participant 10","1","No","Yes","5","1","1","1","1","1","1","1","1","7","לא היה משהו כזה היום שידוע לי עליו","1","1","1","No","No","No","No","Yes","","1","1","1","7","1","1","1","1"
"12/27/2024 05:12PM","12/27/2024 05:14PM","12/27/2024 05:00PM - 12/27/2024 11:00PM",114.825,"3","1","Finished","67632e8217bb529f7001ccfa",,,"no","-","10.100.102.6","Participant 10","1","No","Yes","6","1","2","1","1","6","1","1","1","7","לא קרה","1","1","1","No","No","No","No","Yes","","3","3","1","7","1","3","1","1"
"12/28/2024 05:57PM","12/28/2024 06:00PM","12/28/2024 05:00PM - 12/28/2024 11:00PM",161.922,"4","1","Finished","67632e8217bb529f7001ccfa",,,"no","-","10.100.102.6","Participant 10","1","No","Yes","5","2","2","1","1","6","5","2","2","6","לא אפשרנו לו יותר זמן מסך כפי שהוא רצה","2","1","2","No","No","No","No","Yes","","5","6","2","7","3","5","1","1"
"12/29/2024 08:09PM","12/29/2024 08:12PM","12/29/2024 05:00PM - 12/29/2024 11:00PM",195.124,"5","1","Finished","67632e8217bb529f7001ccfa",,,"no","-","10.100.102.6","Participant 10","1","No","Yes","5","4","3","1","1","6","3","1","4","5","לא היה משהו שעצבן אלא בעיקר היה לו קשה כשבקשתי שיפסיק עם המסכים (משחקי טלויזיה והתעסקות עם הנייד) ","3","2","2","No","No","No","No","Yes","","6","6","2","7","2","5","1","1"
"12/30/2024 06:57PM","12/30/2024 07:00PM","12/30/2024 05:00PM - 12/30/2024 11:00PM",149.561,"6","1","Finished","67632e8217bb529f7001ccfa",,,"no","-","10.82.187.109","Participant 10","1","No","Yes","5","4","3","1","3","6","3","2","2","6","לא היה משהו שגרם לו להתעצבן שהייתי ערה אליו","3","3","1","No","No","No","No","Yes","","6","6","2","7","2","6","1","1"
"12/31/2024 07:25PM","12/31/2024 07:27PM","12/31/2024 05:00PM - 12/31/2024 11:00PM",110.856,"7","1","Finished","67632e8217bb529f7001ccfa",,,"no","-","10.155.250.65","Participant 10","1","No","Yes","5","3","2","1","4","6","3","1","1","6","לא היה מקרה כזה","1","1","1","No","No","No","No","Yes","","5","3","1","7","1","5","1","1"
"01/01/2025 07:08PM","01/01/2025 07:10PM","01/01/2025 05:00PM - 01/01/2025 11:00PM",116.913,"8","1","Finished","67632e8217bb529f7001ccfa",,,"no","-","10.155.250.65","Participant 10","1","No","Yes","6","2","2","1","4","6","2","1","1","6","לא ידוע לי שקרה","1","1","1","No","No","No","No","Yes","","5","3","1","7","1","5","1","1"
"01/02/2025 06:20PM","01/02/2025 06:33PM","01/02/2025 05:00PM - 01/02/2025 11:00PM",755.531,"2","1","Finished","67754296c6a0e6121dce8903",,,"no","-","100.105.38.193","Participant 11","4","No","Yes","5","5","2","7","5","6","2","1","2","5","לא בדיוק משהו שעצבן,
היתה מתוסכלת בגלל קושי בתרגיל בחשבון. ","5","4","1","No","No","No","No","Yes","","2","2","1","6","1","5","1","2"
"01/03/2025 05:03PM","01/03/2025 05:06PM","01/03/2025 05:00PM - 01/03/2025 11:00PM",222.532,"3","1","Finished","67754296c6a0e6121dce8903",,,"no","-","10.0.0.19","Participant 11","1","No","Yes","5","6","4","6","5","6","7","7","6","3","לא יכולתי להגיע למפגש הורים וילדים בבית הספר","3","2","1","No","No","No","No","Yes","","1","2","3","7","2","2","2","5"
"01/04/2025 08:25PM","01/04/2025 08:27PM","01/04/2025 05:00PM - 01/04/2025 11:00PM",154.217,"4","1","Finished","67754296c6a0e6121dce8903",,,"no","-","192.168.0.103","Participant 11","1","No","Yes","6","1","1","3","1","1","1","2","1","6","לא רלוונטי","2","1","1","No","No","No","No","Yes","","1","2","1","6","2","2","1","1"
"01/05/2025 06:19PM","01/05/2025 06:21PM","01/05/2025 05:00PM - 01/05/2025 11:00PM",155.49,"5","1","Finished","67754296c6a0e6121dce8903",,,"no","-","192.168.0.103","Participant 11","1","No","Yes","6","2","1","2","1","1","3","1","1","6","עשתה מטלה לימודית במחשב והמטלה לא נשמרה","3","2","2","No","No","No","No","Yes","","1","3","1","5","4","2","3","2"
"01/02/2025 06:43PM","01/02/2025 06:46PM","01/02/2025 05:00PM - 01/02/2025 11:00PM",206.613,"2","1","Finished","67489ff0cc103e20a98584c7","0.0","0.0","no","-","100.105.48.247","Participant 12","7","No","Yes","7","1","1","1","1","1","1","2","1","5","לא היה","1","1","1","No","No","No","No","Yes","","1","1","1","7","1","1","1","1"
"01/03/2025 07:04PM","01/03/2025 07:08PM","01/03/2025 05:00PM - 01/03/2025 11:00PM",203.265,"3","1","Finished","67489ff0cc103e20a98584c7","0.0","0.0","no","-","100.105.48.247","Participant 12","7","No","Yes","6","1","1","1","1","7","2","6","1","6","היה משהו במשחק עם האח הקטן שלו","1","1","1","No","No","No","No","No","דיבר בחוסר סבלנות לאח הקטן שלו","1","2","1","6","1","1","1","1"
"01/04/2025 05:53PM","01/04/2025 05:56PM","01/04/2025 05:00PM - 01/04/2025 11:00PM",152.407,"4","1","Finished","67489ff0cc103e20a98584c7","0.0","0.0","no","-","100.105.48.247","Participant 12","7","No","Yes","6","1","1","7","6","1","4","7","1","7","לא היה","1","1","1","No","No","No","No","Yes","","1","1","1","7","1","1","1","1"
"01/05/2025 05:34PM","01/05/2025 05:37PM","01/05/2025 05:00PM - 01/05/2025 11:00PM",183.466,"5","1","Finished","67489ff0cc103e20a98584c7","0.0","0.0","no","-","192.168.1.197","Participant 12","5","No","Yes","6","1","1","1","4","2","5","6","1","6","לא ידוע לי","1","1","1","No","No","No","No","Yes","","1","1","1","6","1","1","1","1"
"01/06/2025 10:10PM","01/06/2025 10:13PM","01/06/2025 05:00PM - 01/06/2025 11:00PM",193.399,"6","1","Finished","67489ff0cc103e20a98584c7","0.0","0.0","no","-","192.168.1.197","Participant 12","3","No","Yes","6","1","1","1","6","1","4","5","1","6","לא היה","1","1","1","No","No","No","No","Yes","","5","1","1","7","1","1","1","1"
"01/07/2025 07:44PM","01/07/2025 07:49PM","01/07/2025 05:00PM - 01/07/2025 11:00PM",302.746,"7","1","Finished","67489ff0cc103e20a98584c7","0.0","0.0","no","-","2a00:a041:3964:3700::6b14","Participant 12","4","No","Yes","5","2","1","2","4","3","5","5","1","6","הוא ביקש מהאח הקטן שלו להנמיך את הווליום של המשק שהפריע לראות תכנית טלוויזיה לכל המשפחה והוא לא היה מסכים","1","3","1","No","No","No","No","Yes","","1","1","1","6","1","1","1","1"
