,,,,,,,,,,,,"Survey","Participant","Question 1","Question 2","Question 3","{{Q://Q4/ChoiceTextEntryValue}}","{{Q://Q5/ChoiceTextEntryValue}}.1","{{Q://Q5/ChoiceTextEntryValue}}.2","{{Q://Q5/ChoiceTextEntryValue}}.3","{{Q://Q5/ChoiceTextEntryValue}}.4","{{Q://Q5/ChoiceTextEntryValue}}.5","{{Q://Q5/ChoiceTextEntryValue}}.6","{{Q://Q5/ChoiceTextEntryValue}}.7","Question 6","Question 7","Question 8","Question 9","Question 10","Question 11","Question 12","Question 13","Question 14","Question 15","Question 16","Question 17","Question 18","Question 19","Question 20","Question 21","Question 22","Question 23","Question 24","Question 25"
"12/06/2024 05:00PM","12/06/2024 05:02PM","12/06/2024 05:00PM - 12/06/2024 11:00PM",124.044,"3","1","Finished","67508f84dc3d69e45537faeb","0.0","0.0","no","-","2a00:a041:7860:3400::2","Participant 4","6","6","1","אח שלי הציק לי היום","Yes","Yes","No","No","No","No","","7","1","6","4","5","7","2","4","5","5","1","4","6","1","1","5","3","5","7",
"12/07/2024 05:00PM","12/07/2024 05:02PM","12/07/2024 05:00PM - 12/07/2024 11:00PM",134.023,"4","1","Finished","67508f84dc3d69e45537faeb","0.0","0.0","no","-","10.26.119.224","Participant 4","1","1","1","לא היה","No","No","No","No","No","Yes","","1","5","1","5","7","1","3","7","7","6","1","1","1","1","1","1","5","1","7",
"12/08/2024 07:22PM","12/08/2024 07:25PM","12/08/2024 05:00PM - 12/08/2024 11:00PM",142.04,"5","1","Finished","67508f84dc3d69e45537faeb","0.0","0.0","no","-","192.168.1.26","Participant 4","1","1","1","שלא יכלתי ללכת לאימון ","No","No","No","No","No","Yes","","1","3","1","4","7","1","2","1","7","4","1","1","2","1","1","1","1","1","7",
"12/09/2024 08:49PM","12/09/2024 08:51PM","12/09/2024 05:00PM - 12/09/2024 11:00PM",108.413,"6","1","Finished","67508f84dc3d69e45537faeb","0.0","0.0","no","-","2a00:a041:7860:3400::2","Participant 4","6","1","5","לא יכולתי ללכת לאימון בגלל מתיחה","No","No","No","No","No","Yes","","1","1","1","5","5","1","4","1","5","3","1","1","1","1","1","5","2","1","7",
"12/10/2024 08:54PM","12/10/2024 08:55PM","12/10/2024 05:00PM - 12/10/2024 11:00PM",61.783,"7","1","Finished","67508f84dc3d69e45537faeb","0.0","0.0","no","-","2a00:a041:7860:3400::2","Participant 4","1","1","1","כואב לי השריר ","No","No","No","No","No","Yes","","1","4","1","2","5","2","6","4","7","6","1","1","1","1","1","1","1","1","7",
"12/11/2024 05:03PM","12/11/2024 05:06PM","12/11/2024 05:00PM - 12/11/2024 11:00PM",187.176,"8","1","Finished","67508f84dc3d69e45537faeb","0.0","0.0","no","-","192.168.1.26","Participant 4","6","6","7","אח שלי היה הרבה זמן במסכים ורציתי שהוא ישחק קצת במשחקים ולא רק בטלפון אז קראתי לו ואז הוא צעק עליי שלא אכפת לו ממני וכזה אז אמא שלי אמרה לי לעזוב אותו ואז הוא צעק עליי ","No","No","No","No","No","No","כעסתי מאוד ","6","1","7","1","5","7","6","7","5","5","4","5","5","1","2","7","5","5","3",
"12/23/2024 07:01PM","12/23/2024 07:04PM","12/23/2024 05:00PM - 12/23/2024 11:00PM",222.883,"2","1","Finished","67682e319e4c11f7e1e4cd41","0.0","0.0","no","-","192.168.1.159","Participant 5","1","1","1","אין","No","No","No","No","No","Yes","","1","7","1","3","7","1","5","1","5","1","1","1","1","1","4","4","1","1","7",
"12/24/2024 05:08PM","12/24/2024 05:10PM","12/24/2024 05:00PM - 12/24/2024 11:00PM",144.961,"3","1","Finished","67682e319e4c11f7e1e4cd41","0.0","0.0","no","-","2a0d:6fc2:4b11:6200:f9aa:e2ca:8af:d1c5","Participant 5","1","1","1","אין","No","No","No","No","No","Yes","","1","1","1","6","4","1","1","1","1","1","1","1","1","1","1","1","1","1","6",
"12/25/2024 05:36PM","12/25/2024 05:38PM","12/25/2024 05:00PM - 12/25/2024 11:00PM",125.009,"4","1","Finished","67682e319e4c11f7e1e4cd41","0.0","0.0","no","-","2a0d:6fc2:4b11:6200:6d4e:b721:1083:9a1c","Participant 5","1","1","1","אין","No","No","No","No","No","Yes","","1","1","1","5","3","1","1","1","6","5","1","1","5","6","6","1","1","1","5",
"12/26/2024 05:45PM","12/26/2024 05:48PM","12/26/2024 05:00PM - 12/26/2024 11:00PM",140.039,"5","1","Finished","67682e319e4c11f7e1e4cd41","0.0","0.0","no","-","2a0d:6fc7:504:f90e:eccf:89fb:1193:c5d1","Participant 5","1","5","1","אין","No","No","No","No","No","Yes","","1","1","1","6","5","1","5","1","5","1","1","1","1","1","6","1","1","1","7",
"12/27/2024 07:58PM","12/27/2024 08:00PM","12/27/2024 05:00PM - 12/27/2024 11:00PM",113.78,"6","1","Finished","67682e319e4c11f7e1e4cd41","0.0","0.0","no","-","192.168.1.159","Participant 5","4","1","5","אין","No","No","No","No","No","Yes","","1","1","1","7","5","1","1","1","1","1","1","1","1","1","1","1","1","1","6",
"12/28/2024 05:12PM","12/28/2024 05:14PM","12/28/2024 05:00PM - 12/28/2024 11:00PM",113.126,"7","1","Finished","67682e319e4c11f7e1e4cd41","0.0","0.0","no","-","2a0d:6fc2:4b11:6200:a806:c03c:ca8b:8013","Participant 5","1","1","1","אין","No","No","No","No","No","Yes","","1","1","1","2","4","1","5","1","5","1","1","1","1","1","1","1","1","1","4",
"12/29/2024 07:00PM","12/29/2024 07:02PM","12/29/2024 05:00PM - 12/29/2024 11:00PM",122.82,"8","1","Finished","67682e319e4c11f7e1e4cd41","0.0","0.0","no","-","192.168.1.159","Participant 5","1","1","1","אין","No","No","No","No","No","Yes","","1","4","1","5","5","2","4","2","7","1","2","1","1","1","1","1","1","1","5",
"12/26/2024 09:36PM","12/26/2024 09:39PM","12/26/2024 05:00PM - 12/26/2024 11:00PM",195.246,"2","1","Finished","676683b79e4c11f7e1e1b0ab",,,"no","-","10.100.102.5","Participant 6","1","1","1","כלום","No","No","No","No","No","Yes","","1","1","1","1","7","1","1","1","6","1","1","1","1","1","1","1","1","1","7",
"12/27/2024 05:12PM","12/27/2024 05:14PM","12/27/2024 05:00PM - 12/27/2024 11:00PM",115.482,"3","1","Finished","676683b79e4c11f7e1e1b0ab",,,"no","-","10.100.102.9","Participant 6","1","1","1","כלום","No","No","No","No","No","Yes","","1","1","1","1","7","1","1","1","1","1","1","1","1","1","1","1","5","1","7",
"12/28/2024 05:57PM","12/28/2024 06:00PM","12/28/2024 05:00PM - 12/28/2024 11:00PM",199.215,"4","1","Finished","676683b79e4c11f7e1e1b0ab",,,"no","-","10.100.102.9","Participant 6","1","1","1","כלום","No","No","No","No","No","Yes","","1","1","1","5","7","1","1","1","1","1","1","2","1","1","1","1","3","1","6",
"12/29/2024 08:09PM","12/29/2024 08:12PM","12/29/2024 05:00PM - 12/29/2024 11:00PM",178.52,"5","1","Finished","676683b79e4c11f7e1e1b0ab",,,"no","-","10.100.102.9","Participant 6","1","1","1","כלום","No","No","No","No","No","Yes","","1","3","1","2","7","1","6","7","1","1","5","1","1","1","1","1","1","1","7",
"12/30/2024 06:57PM","12/30/2024 07:00PM","12/30/2024 05:00PM - 12/30/2024 11:00PM",162.368,"6","1","Finished","676683b79e4c11f7e1e1b0ab",,,"no","-","10.100.102.140","Participant 6","1","1","1","כלום","No","No","No","No","No","Yes","","1","6","1","3","7","1","3","7","5","1","1","1","1","1","1","1","1","1","7",
"12/31/2024 07:25PM","12/31/2024 07:26PM","12/31/2024 05:00PM - 12/31/2024 11:00PM",101.183,"7","1","Finished","676683b79e4c11f7e1e1b0ab",,,"no","-","10.78.91.66","Participant 6","1","1","1","כלום","No","No","No","No","No","Yes","","1","1","1","6","7","1","1","7","6","1","1","1","1","1","1","1","1","1","7",
"01/01/2025 07:08PM","01/01/2025 07:09PM","01/01/2025 05:00PM - 01/01/2025 11:00PM",78.615,"8","1","Finished","676683b79e4c11f7e1e1b0ab",,,"no","-","10.42.128.33","Participant 6","1","1","1","כלום","No","No","No","No","No","Yes","","1","1","1","5","6","1","1","7","6","1","1","1","1","1","1","1","1","1","7",
"01/02/2025 06:43PM","01/02/2025 06:47PM","01/02/2025 05:00PM - 01/02/2025 11:00PM",251.538,"2","1","Finished","67755e53c6a0e6121dcea6f4",,,"no","-","100.97.14.207","Participant 7","2","1","1","שהיום בלילה משהו עשה קריוקי ולא נתן לי לישון","No","No","No","No","No","Yes","","1","1","1","7","7","1","2","1","1","1","1","1","2","1","1","5","1","1","6",
"01/03/2025 07:05PM","01/03/2025 07:09PM","01/03/2025 05:00PM - 01/03/2025 11:00PM",235.863,"3","1","Finished","67755e53c6a0e6121dcea6f4",,,"no","-","192.168.1.192","Participant 7","1","1","1","אחרי שהייתה אזעקה בארבע בבוקר רציתי לחזור לישון ואבא שלי דיבר בקול רם אז טרקתי את הדלת שלי","No","Yes","No","No","No","No","","2","1","2","4","4","2","1","6","2","1","1","2","3","1","1","4","2","1","7",
"01/04/2025 05:53PM","01/04/2025 06:02PM","01/04/2025 05:00PM - 01/04/2025 11:00PM",488.991,"4","1","Finished","67755e53c6a0e6121dcea6f4",,,"no","-","100.96.189.65","Participant 7","1","1","1","כלום ","No","No","No","No","No","Yes","","1","6","1","7","6","1","7","2","2","1","1","1","3","1","1","4","1","1","7",
"01/05/2025 05:35PM","01/05/2025 05:37PM","01/05/2025 05:00PM - 01/05/2025 11:00PM",141.93,"5","1","Finished","67755e53c6a0e6121dcea6f4",,,"no","-","100.96.189.65","Participant 7","1","1","1","כלום ","No","No","No","No","No","Yes","","1","1","1","5","6","1","3","4","1","1","1","2","3","1","1","4","1","1","5",
"01/06/2025 10:10PM","01/06/2025 10:13PM","01/06/2025 05:00PM - 01/06/2025 11:00PM",161.004,"6","1","Finished","67755e53c6a0e6121dcea6f4",,,"no","-","100.96.96.139","Participant 7","2","1","1","כלום ","No","No","No","No","No","Yes","","1","1","1","6","5","1","7","1","6","6","1","1","4","1","1","5","2","1","7",
"01/07/2025 07:44PM","01/07/2025 07:47PM","01/07/2025 05:00PM - 01/07/2025 11:00PM",177.144,"7","1","Finished","67755e53c6a0e6121dcea6f4",,,"no","-","100.104.111.92","Participant 7","5","1","1","היום ניגנתי עם הלהקה שלי והם לא שיתפו פעולה ","Yes","No","No","No","No","No","","1","1","1","6","7","1","6","1","1","1","1","1","5","1","1","6","3","1","6",
"01/08/2025 06:19PM","01/08/2025 06:20PM","01/08/2025 05:00PM - 01/08/2025 11:00PM",92.825,"8","1","Finished","67755e53c6a0e6121dcea6f4",,,"no","-","100.104.111.92","Participant 7","1","1","1","כלום ","No","No","No","No","No","Yes","","1","1","1","4","5","1","6","1","2","2","1","1","4","1","1","4","3","1","5",
"01/07/2025 05:00PM","01/07/2025 05:03PM","01/07/2025 05:00PM - 01/07/2025 11:00PM",176.557,"2","1","Finished","677bd99b92b3eb66e2129f7c","0.0","0.0","no","-","10.100.102.46","Participant 8","1","1","1","משמרות זהב","No","No","No","No","No","Yes","","1","5","1","1","3","3","5","5","1","4","4","1","3","1","1","1","1","1","4",
"01/08/2025 09:04PM","01/08/2025 09:06PM","01/08/2025 05:00PM - 01/08/2025 11:00PM",121.545,"3","1","Finished","677bd99b92b3eb66e2129f7c","0.0","0.0","no","-","10.100.102.46","Participant 8","1","1","1","בית ספר","No","No","No","No","No","Yes","","1","1","1","1","5","1","3","5","5","1","1","7","3","1","1","1","2","1","4",
"01/09/2025 07:23PM","01/09/2025 07:26PM","01/09/2025 05:00PM - 01/09/2025 11:00PM",146.58,"4","1","Finished","677bd99b92b3eb66e2129f7c","0.0","0.0","no","-","10.100.102.46","Participant 8","1","1","5","ףףבית ספר","No","No","No","No","No","Yes","","2","3","5","1","2","5","2","1","1","3","1","1","1","1","1","1","1","1","3",
"01/10/2025 05:00PM","01/10/2025 05:02PM","01/10/2025 05:00PM - 01/10/2025 11:00PM",105.846,"5","1","Finished","677bd99b92b3eb66e2129f7c","0.0","0.0","no","-","10.100.102.46","Participant 8","5","1","1","בית ספר","Yes","No","No","No","No","No","","1","1","1","1","4","1","4","1","1","5","1","1","1","1","1","1","1","1","5",
"01/11/2025 07:01PM","01/11/2025 07:02PM","01/11/2025 05:00PM - 01/11/2025 11:00PM",72.465,"6","1","Finished","677bd99b92b3eb66e2129f7c","0.0","0.0","no","-","fd58:1210:8b06:3d4a:107f:a227:e54b:8ac8","Participant 8","1","1","1","מתמטיקה","No","No","No","No","No","Yes","","1","1","1","1","4","1","1","5","1","1","1","1","1","1","1","1","1","1","4",
"01/12/2025 05:03PM","01/12/2025 05:04PM","01/12/2025 05:00PM - 01/12/2025 11:00PM",76.197,"7","1","Finished","677bd99b92b3eb66e2129f7c","0.0","0.0","no","-","10.100.102.46","Participant 8","1","1","1","ללימוד","Yes","No","No","No","No","No","","1","1","1","1","4","1","1","3","1","3","1","1","1","1","1","1","1","1","4",
"01/13/2025 10:09PM","01/13/2025 10:10PM","01/13/2025 05:00PM - 01/13/2025 11:00PM",87.156,"8","1","Finished","677bd99b92b3eb66e2129f7c","0.0","0.0","no","-","fd58:1210:8b06:3d4a:107f:a227:e54b:8ac8","Participant 8","1","1","1","דחייה מבחן","No","No","No","No","No","Yes","","1","4","1","1","5","1","1","4","5","4","1","1","1","1","1","1","1","1","4",
"01/21/2025 09:31PM","01/21/2025 09:34PM","01/21/2025 05:00PM - 01/21/2025 11:00PM",201.198,"2","1","Finished","678d3c0658adab1eb937475c","0.0","0.0","no","-","192.168.7.14","Participant 9","1","1","1","שמזלזלים בי","No","No","No","No","No","Yes","","1","5","1","7","4","2","1","7","4","1","1","1","1","4","4","1","1","1","7",
"01/22/2025 10:03PM","01/22/2025 10:05PM","01/22/2025 05:00PM - 01/22/2025 11:00PM",160.89,"3","1","Finished","678d3c0658adab1eb937475c","0.0","0.0","no","-","2a05:bb80:34:e591:e868:2e6e:9cf7:c03","Participant 9","1","1","1","לא עצבן כלום","No","No","No","No","No","Yes","","2","5","3","1","5","2","1","1","1","3","2","1","1","1","1","1","1","1","5",
"01/23/2025 08:14PM","01/23/2025 08:17PM","01/23/2025 05:00PM - 01/23/2025 11:00PM",179.139,"4","1","Finished","678d3c0658adab1eb937475c","0.0","0.0","no","-","100.84.71.47","Participant 9","1","1","1","אין","No","No","No","No","No","Yes","","1","3","1","7","5","2","1","1","5","1","1","1","1","1","1","1","1","3","7",
"01/24/2025 09:10PM","01/24/2025 09:11PM","01/24/2025 05:00PM - 01/24/2025 11:00PM",81.65,"5","1","Finished","678d3c0658adab1eb937475c","0.0","0.0","no","-","100.84.71.47","Participant 9","1","1","1","אח שלי","No","No","No","No","No","Yes","","1","1","1","7","1","1","1","1","7","1","1","1","1","4","1","1","1","1","7",
"01/25/2025 09:30PM","01/25/2025 09:32PM","01/25/2025 05:00PM - 01/25/2025 11:00PM",92.525,"6","1","Finished","678d3c0658adab1eb937475c","0.0","0.0","no","-","100.84.94.20","Participant 9","5","1","1",,"No","No","No","No","No","Yes","","1","6","1","7","1","1","1","7","7","1","1","1","1","1","1","1","1","1","7",
"01/26/2025 09:49PM","01/26/2025 09:50PM","01/26/2025 05:00PM - 01/26/2025 11:00PM",70.987,"7","1","Finished","678d3c0658adab1eb937475c","0.0","0.0","no","-","100.84.125.109","Participant 9","1","1","1","אין","No","No","No","No","No","Yes","","1","1","1","3","6","1","1","1","6","1","1","3","1","1","1","1","1","1","7",
"01/27/2025 09:00PM","01/27/2025 09:01PM","01/27/2025 05:00PM - 01/27/2025 11:00PM",69.066,"8","1","Finished","678d3c0658adab1eb937475c","0.0","0.0","no","-","100.84.125.109","Participant 9","1","1","1","אין ","No","No","No","No","No","Yes","","1","1","1","1","6","1","1","6","6","1","1","3","2","1","1","1","5","1","7",
"01/28/2025 07:28PM","01/28/2025 07:30PM","01/28/2025 05:00PM - 01/28/2025 11:00PM",126.785,"2","1","Finished","67978e6694c0c6f78b59371d",,,"no","-","192.168.1.145","Participant 10","5","4","3","מבחן","No","No","No","No","No","Yes","","5","1","2","7","7","1","7","7","7","7","1","1","1","1","1","1","1","1","7",
"01/29/2025 06:12PM","01/29/2025 06:14PM","01/29/2025 05:00PM - 01/29/2025 11:00PM",140.649,"3","1","Finished","67978e6694c0c6f78b59371d",,,"no","-","192.168.1.145","Participant 10","1","1","1","לא התעצבנתי היום","No","No","No","No","No","Yes","","3","7","1","7","7","1","7","5","7","7","1","1","1","1","1","1","1","1","7",
"01/30/2025 10:34PM","01/30/2025 10:36PM","01/30/2025 05:00PM - 01/30/2025 11:00PM",117.354,"4","1","Finished","67978e6694c0c6f78b59371d",,,"no","-","192.168.1.145","Participant 10","1","1","1","עייפות","No","No","No","No","No","Yes","","1","1","1","7","7","1","7","1","7","7","1","1","1","1","1","1","1","1","7",
"01/31/2025 08:51PM","01/31/2025 08:54PM","01/31/2025 05:00PM - 01/31/2025 11:00PM",212.243,"5","1","Finished","67978e6694c0c6f78b59371d",,,"no","-","192.168.1.145","Participant 10","3","1","1","כמעט איחרתי לנסיעה","No","No","No","No","No","Yes","","1","5","1","7","7","1","7","5","7","7","1","1","1","1","1","1","1","1","7",
"02/01/2025 07:23PM","02/01/2025 07:24PM","02/01/2025 05:00PM - 02/01/2025 11:00PM",100.39,"6","1","Finished","67978e6694c0c6f78b59371d",,,"no","-","192.168.1.145","Participant 10","4","1","1","לימודים","Yes","No","No","No","No","No","","4","4","4","7","7","1","7","6","7","7","1","1","1","1","1","1","5","1","7",
"02/02/2025 07:21PM","02/02/2025 07:25PM","02/02/2025 05:00PM - 02/02/2025 11:00PM",213.615,"7","1","Finished","67978e6694c0c6f78b59371d",,,"no","-","192.168.1.145","Participant 10","5","2","2","היה לי קשה להירדם","No","No","No","No","No","Yes","","5","4","2","7","7","3","5","3","6","6","1","2","3","1","2","5","5","1","6",
"02/03/2025 06:52PM","02/03/2025 06:54PM","02/03/2025 05:00PM - 02/03/2025 11:00PM",127.454,"8","1","Finished","67978e6694c0c6f78b59371d",,,"no","-","192.168.1.145","Participant 10","4","1","1","לימודים","Yes","No","No","No","No","No","","4","5","5","7","7","3","6","5","6","6","1","1","4","1","1","1","3","1","7",
"02/10/2025 08:36PM","02/10/2025 08:38PM","02/10/2025 05:00PM - 02/10/2025 11:00PM",136.083,"2","1","Finished","67a732e893e9af3878fe7867",,,"no","-","192.168.68.62","Participant 11","3","4","2","עשיתי מבחן, והוא הלך טוב אבל הוא היה קצת כאב ראש...","No","No","No","No","No","Yes","","1","7","1","5","5","3","7","7","6","6","1","1","2","1","3","2","1","1","6",
