,,,,,,,,,,,,"Survey","Participant","Question 1","Question 2","Question 3","Question 4","{{Q://Q5/ChoiceTextEntryValue}}.1","{{Q://Q5/ChoiceTextEntryValue}}.2","{{Q://Q5/ChoiceTextEntryValue}}.3","{{Q://Q5/ChoiceTextEntryValue}}.4","{{Q://Q5/ChoiceTextEntryValue}}.5","{{Q://Q5/ChoiceTextEntryValue}}.6","{{Q://Q5/ChoiceTextEntryValue}}.7","Question 6","Question 7","Question 8","{{Q://Q9/ChoiceTextEntryValue}}","Question 10","Question 11","Question 12","Question 13","Question 14","Question 15","Question 16","Question 17","Question 18","Question 19","Question 20","Question 21","Question 22","Question 23","Question 24","Question 25"
"01/23/2025 08:20PM","01/23/2025 08:22PM","01/23/2025 05:00PM - 01/23/2025 11:00PM",115.018,"5","1","Finished","678d185d58adab1eb935dcab",,,"no","-","10.84.42.175","Participant 4","3","3","3","5","No","No","No","No","No","Yes","","3","4","2","המורה לאנגלית המעצבנת","5","2","3","6","3","3","3","2","2","4","2","2","3","1","3",
"01/25/2025 05:06PM","01/25/2025 05:08PM","01/25/2025 05:00PM - 01/25/2025 11:00PM",136.664,"7","1","Finished","678d185d58adab1eb935dcab",,,"no","-","10.101.22.130","Participant 4","3","3","4","5","No","No","No","No","No","Yes","","3","3","5","שמשהו קרה לא כמו שרציתי ","3","3","3","5","3","3","1","3","1","4","3","3","2","1","2",
"01/26/2025 07:54PM","01/26/2025 07:57PM","01/26/2025 05:00PM - 01/26/2025 11:00PM",219.263,"8","1","Finished","678d185d58adab1eb935dcab",,,"no","-","10.147.230.146","Participant 4","2","3","4","3","No","No","No","No","No","Yes","","3","5","5","שאמרו לי לבוא בזמן באתי ומסתבר הקדימו ולא הודיעו לי ","3","2","2","6","3","3","3","2","2","4","3","3","4","2","4",
"02/10/2025 05:27PM","02/10/2025 05:30PM","02/10/2025 05:00PM - 02/10/2025 11:00PM",171.098,"2","1","Finished","67a8d7bf93e9af3878060a7e",,,"no","-","10.0.0.14","Participant 5","7","2","6","7","No","No","No","No","No","Yes","","3","7","7","לקח לי שעתיים להגיע הביתה ושעה וחצי לתחנה המרכזית","7","2","7","3","1","7","1","1","1","1","1","1","1","1","1",
"02/11/2025 06:47PM","02/11/2025 06:49PM","02/11/2025 05:00PM - 02/11/2025 11:00PM",145.899,"3","1","Finished","67a8d7bf93e9af3878060a7e",,,"no","-","10.0.0.14","Participant 5","7","2","2","5","No","No","No","No","No","Yes","","2","7","2","שחברה שלי הבריזה לי מחוג","6","2","7","6","5","5","1","1","1","5","2","2","1","1","1",
"02/12/2025 08:05PM","02/12/2025 08:08PM","02/12/2025 05:00PM - 02/12/2025 11:00PM",198.173,"4","1","Finished","67a8d7bf93e9af3878060a7e",,,"no","-","10.179.214.221","Participant 5","7","3","1","6","Yes","No","No","No","No","No","","2","7","1","שלקח לי מלא זמן לחזור הביתה וחצי מהדרך הייתה לבד","6","2","7","3","3","6","1","1","1","6","1","2","1","1","3",
"02/13/2025 08:12PM","02/13/2025 08:14PM","02/13/2025 05:00PM - 02/13/2025 11:00PM",131.105,"5","1","Finished","67a8d7bf93e9af3878060a7e",,,"no","-","10.0.0.14","Participant 5","7","6","3","5","No","No","No","No","No","Yes","","4","7","5","אחותי","7","3","7","2","3","2","1","1","1","6","2","1","1","1","6",
"02/14/2025 08:28PM","02/14/2025 08:31PM","02/14/2025 05:00PM - 02/14/2025 11:00PM",160.934,"6","1","Finished","67a8d7bf93e9af3878060a7e",,,"no","-","10.0.0.2","Participant 5","7","2","3","6","No","No","No","No","No","No","אמרתי לאמא שלי","2","7","2","אחותי","4","2","7","5","3","5","2","1","1","5","1","3","3","1","2",
"02/15/2025 08:43PM","02/15/2025 08:45PM","02/15/2025 05:00PM - 02/15/2025 11:00PM",154.458,"7","1","Finished","67a8d7bf93e9af3878060a7e",,,"no","-","10.0.0.2","Participant 5","7","2","1","6","No","No","No","No","No","Yes","","2","7","2","כלום","6","2","7","6","2","3","2","1","1","6","4","1","3","1","2",
"02/16/2025 06:44PM","02/16/2025 06:46PM","02/16/2025 05:00PM - 02/16/2025 11:00PM",125.607,"8","1","Finished","67a8d7bf93e9af3878060a7e",,,"no","-","10.0.0.2","Participant 5","7","3","2","5","No","No","No","No","No","Yes","","2","6","5","שהאוטובוס  שלי לא עצר לי בתחנה","6","3","7","6","5","2","1","1","1","3","1","1","1","1","5",
